City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Burnie,AU,-41.0667,145.9167,49.95,71,86,11.9,overcast clouds
237,Barrow,US,71.2906,-156.7887,28.42,86,90,17.27,overcast clouds
238,Gat,IL,31.61,34.7642,72.09,100,0,6.26,clear sky
239,Taree,AU,-31.9,152.4667,67.1,96,11,4.23,few clouds
240,Lagoa,PT,39.05,-27.9833,66.31,71,0,13.31,clear sky
241,Shitanjing,CN,39.2342,106.3439,44.4,52,0,1.9,clear sky
242,Simpang,ID,-1.2667,104.0833,75.2,92,100,1.79,overcast clouds
243,Caravelas,BR,-17.7125,-39.2481,78.22,71,25,8.63,scattered clouds
244,Conceicao Da Barra,BR,-18.5933,-39.7322,77.72,75,45,8.59,scattered clouds
245,Acarau,BR,-2.8856,-40.12,85.19,65,90,17.65,overcast clouds
246,Port Keats,AU,-14.25,129.55,79.86,82,5,6.02,clear sky
247,Dunedin,NZ,-45.8742,170.5036,53.8,81,100,8.01,overcast clouds
248,Launceston,AU,-41.45,147.1667,49.64,94,90,0.0,overcast clouds
249,Suzun,RU,53.7841,82.3116,45.64,66,100,17.07,overcast clouds
250,Sayyan,YE,15.1718,44.3244,56.93,30,32,6.02,scattered clouds
251,Goundam,ML,16.4145,-3.6708,94.44,16,3,8.57,clear sky
252,Yumen,CN,40.2833,97.2,41.54,42,100,4.05,overcast clouds
253,Hamilton,US,39.1834,-84.5333,61.03,67,100,1.01,overcast clouds
254,Guaymango,SV,13.7503,-89.8422,82.38,75,50,6.53,light rain
255,Yarmouth,US,41.7057,-70.2286,65.01,77,20,5.99,few clouds
256,Monrovia,LR,6.3005,-10.7969,78.76,83,94,7.29,overcast clouds
257,Mortka,RU,59.3322,66.0214,42.35,68,91,14.29,overcast clouds
258,Ola,RU,59.5833,151.2833,23.99,70,100,11.34,overcast clouds
259,Lufilufi,WS,-13.8745,-171.5986,76.78,69,94,17.16,overcast clouds
260,Urucara,BR,-2.5364,-57.76,90.45,53,98,2.73,moderate rain
261,Namtsy,RU,62.7161,129.6658,21.31,95,100,3.94,overcast clouds
262,Guadalupe,MX,25.6833,-100.25,91.4,55,0,3.0,clear sky
263,Isangel,VU,-19.55,169.2667,75.16,82,92,10.92,overcast clouds
264,Jinxiang,CN,27.4327,120.6062,60.91,87,100,11.48,light rain
265,Nazare,BR,-13.035,-39.0144,81.99,69,100,5.3,overcast clouds
266,Cabedelo,BR,-6.9811,-34.8339,82.13,69,44,10.63,scattered clouds
267,Upington,ZA,-28.4478,21.2561,57.02,55,4,6.11,clear sky
268,Phan Thiet,VN,10.9333,108.1,76.8,88,100,4.41,overcast clouds
269,Kawalu,ID,-7.3817,108.2082,73.45,95,100,0.96,overcast clouds
270,Riviere-Au-Renard,CA,48.9957,-64.3971,48.06,94,100,9.37,overcast clouds
271,Paita,PE,-5.0892,-81.1144,70.83,74,100,14.85,overcast clouds
272,Coihaique,CL,-45.5752,-72.0662,48.85,54,13,16.89,few clouds
273,Ukiah,US,39.1502,-123.2078,57.83,92,90,4.61,moderate rain
274,Nhulunbuy,AU,-12.2333,136.7667,77.61,88,40,0.0,scattered clouds
275,Katsuura,JP,35.1333,140.3,54.19,59,5,9.35,clear sky
276,Port Lincoln,AU,-34.7333,135.8667,53.1,79,2,9.51,clear sky
277,Westerland,DE,54.9079,8.3033,50.02,76,75,6.91,broken clouds
278,Ahipara,NZ,-35.1667,173.1667,61.2,97,92,4.27,overcast clouds
279,Karangasem,ID,-8.45,115.6167,76.14,79,96,4.65,overcast clouds
280,El Pueblito,MX,20.5333,-100.45,75.02,45,62,5.64,broken clouds
281,Banda Aceh,ID,5.5577,95.3222,79.14,83,99,2.19,overcast clouds
282,Wasilla,US,61.5814,-149.4394,42.73,70,1,5.01,clear sky
283,Soyo,AO,-6.1349,12.3689,78.49,83,100,8.97,overcast clouds
284,Sao Felix Do Xingu,BR,-6.6447,-51.995,86.25,61,100,3.11,overcast clouds
285,San Rafael Del Sur,NI,11.8485,-86.4384,85.53,67,46,2.93,scattered clouds
286,Sao Goncalo Do Amarante,BR,-3.6072,-38.9683,86.04,56,91,10.78,overcast clouds
287,Sawtell,AU,-30.3833,153.1,67.19,96,0,1.14,clear sky
288,Tanda,IN,26.55,82.65,72.63,69,0,3.83,clear sky
289,Hohhot,CN,40.8106,111.6522,45.46,53,76,0.98,broken clouds
290,Santa Rosa,PH,14.3122,121.1114,79.11,80,100,8.88,overcast clouds
291,Port Hardy,CA,50.6996,-127.4199,49.44,80,28,5.95,light rain
292,Tromso,NO,69.6496,18.957,33.82,60,75,5.01,snow
293,Okhotsk,RU,59.3833,143.3,16.23,78,2,15.03,clear sky
294,Celestun,MX,20.8667,-90.4,80.37,77,91,7.94,overcast clouds
295,Sembabule,UG,-0.0772,31.4567,65.44,82,60,1.3,broken clouds
296,Henderson,US,36.0397,-114.9819,76.75,28,1,13.8,clear sky
297,Bluefields,NI,12.0137,-83.7635,85.69,66,97,7.56,overcast clouds
298,Vostok,RU,46.4856,135.8833,28.67,89,7,5.95,clear sky
299,Cabra,ES,37.4725,-4.4421,65.64,56,11,4.83,few clouds
300,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.56,93,90,4.61,overcast clouds
301,Phalaborwa,ZA,-23.943,31.1411,90.1,24,4,8.99,clear sky
302,Barbate,ES,36.1924,-5.9219,69.73,76,73,18.37,broken clouds
303,Bahir Dar,ET,11.5936,37.3908,64.63,63,93,3.44,overcast clouds
304,Kruisfontein,ZA,-34.0033,24.7314,57.88,65,81,16.44,broken clouds
305,North Bend,US,43.4065,-124.2243,57.07,97,90,4.61,mist
306,Nouadhibou,MR,20.931,-17.0347,69.13,80,0,21.77,clear sky
307,Tura,IN,25.5198,90.2201,66.18,86,0,2.84,clear sky
308,Mtambile,TZ,-5.3833,39.7,76.91,79,9,9.8,clear sky
309,Vryburg,ZA,-26.9566,24.7284,57.34,54,0,21.36,clear sky
310,Teahupoo,PF,-17.8333,-149.2667,73.36,86,100,12.8,light rain
311,Igarka,RU,67.4667,86.5833,29.97,97,100,12.21,light snow
312,Comrat,MD,46.3003,28.6572,51.37,47,6,9.8,light rain
313,Taoudenni,ML,22.6783,-3.9836,87.21,18,0,3.78,clear sky
314,Jieshi,CN,22.8134,115.8257,66.94,76,97,8.25,overcast clouds
315,Almaznyy,RU,48.0448,40.045,53.74,79,100,7.4,light rain
316,Mogapinyana,BW,-22.3667,27.6,83.28,15,19,5.75,few clouds
317,Bethel,US,41.3712,-73.414,60.03,62,79,5.5,broken clouds
318,Arlit,NE,18.7369,7.3853,89.91,11,6,3.85,clear sky
319,Tilichiki,RU,60.4667,166.1,6.35,88,98,8.19,overcast clouds
320,Piacabucu,BR,-10.4056,-36.4344,82.4,74,18,14.52,few clouds
321,Kieta,PG,-6.2167,155.6333,78.49,80,20,2.75,few clouds
322,Lazaro Cardenas,MX,17.9583,-102.2,83.39,72,100,4.99,overcast clouds
323,Cidreira,BR,-30.1811,-50.2056,68.05,89,100,10.58,light rain
324,Ormara,PK,25.2088,64.6357,80.96,39,0,13.24,clear sky
325,Narasannapeta,IN,18.4167,84.05,76.03,70,98,3.53,overcast clouds
326,Bubaque,GW,11.2833,-15.8333,84.13,69,97,9.22,overcast clouds
327,Sargatskoye,RU,55.6101,73.4972,50.2,71,53,18.03,broken clouds
328,Saldanha,ZA,-33.0117,17.9442,60.3,70,69,5.86,broken clouds
329,Xifeng,CN,42.7372,124.7222,40.08,62,0,4.76,clear sky
330,Linxia,CN,35.6003,103.2064,45.14,74,58,0.98,broken clouds
331,Omboue,GA,-1.5746,9.2618,76.08,88,93,5.75,overcast clouds
332,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.33,69,100,4.16,heavy intensity rain
333,Mattru,SL,7.6244,-11.8332,75.42,95,100,3.36,light rain
334,Maridi,SS,4.9158,29.4742,69.04,92,83,4.7,broken clouds
335,Jibuti,DJ,11.5,42.5,78.76,56,100,13.94,overcast clouds
336,Makakilo City,US,21.3469,-158.0858,80.62,63,0,15.41,clear sky
337,Hastings,GB,50.8552,0.5729,57.29,71,54,13.65,broken clouds
338,Pascagoula,US,30.3658,-88.5561,84.06,59,90,6.89,overcast clouds
339,Buala,SB,-8.145,159.5921,78.76,76,25,3.91,scattered clouds
340,Marsa Matruh,EG,31.3525,27.2453,69.96,69,0,7.31,clear sky
341,Ilhabela,BR,-23.7781,-45.3581,74.41,79,1,10.92,clear sky
342,Dharchula,IN,29.85,80.5333,57.11,75,0,6.71,clear sky
343,Yankton,US,42.8711,-97.3973,53.85,47,1,14.97,clear sky
344,Denpasar,ID,-8.65,115.2167,76.71,88,40,1.14,scattered clouds
345,Marsh Harbour,BS,26.5412,-77.0636,81.32,71,100,10.04,overcast clouds
346,Luau,AO,-10.7073,22.2247,73.29,70,97,2.71,light rain
347,Deputatskiy,RU,69.3,139.9,-7.49,99,100,2.53,overcast clouds
348,Merrill,US,45.1805,-89.6835,51.57,56,40,0.0,scattered clouds
349,Jasper,US,37.2001,-94.3502,68.83,75,95,10.85,overcast clouds
350,Faanui,PF,-16.4833,-151.75,78.12,73,100,3.87,overcast clouds
351,Loikaw,MM,19.6742,97.2094,65.93,96,98,1.07,overcast clouds
352,Grand Gaube,MU,-20.0064,57.6608,74.37,76,98,3.0,overcast clouds
353,Mareeba,AU,-17.0,145.4333,68.72,97,53,2.48,broken clouds
354,Tebingtinggi,ID,3.3285,99.1625,75.25,95,100,2.1,overcast clouds
355,Trelew,AR,-43.249,-65.3051,67.21,10,90,12.33,overcast clouds
356,Tasiilaq,GL,65.6145,-37.6368,33.96,89,100,4.23,overcast clouds
357,Nadapuram,IN,11.7,75.6667,74.32,93,54,3.49,moderate rain
358,Wanning,CN,18.8003,110.3967,70.65,87,94,11.92,overcast clouds
359,Risch,CH,47.1405,8.441,48.49,79,75,0.0,broken clouds
360,Pericos,MX,25.05,-107.7,92.37,43,0,4.21,clear sky
361,Sao Francisco,BR,-15.9486,-44.8644,84.97,46,90,7.05,overcast clouds
362,Biltine,TD,14.5333,20.9167,88.39,17,4,17.31,clear sky
363,Sur,OM,22.5667,59.5289,81.7,60,0,7.65,clear sky
364,Ugoofaaru,MV,5.6667,73.0,81.72,76,85,14.79,overcast clouds
365,Huarmey,PE,-10.0681,-78.1522,70.32,70,18,13.18,few clouds
366,Malakal,SS,9.5334,31.6605,80.8,50,7,5.06,clear sky
367,Ust-Ishim,RU,57.6935,71.1665,46.45,75,30,14.12,scattered clouds
368,Umm Kaddadah,SD,13.6017,26.6876,90.18,15,41,16.75,scattered clouds
369,Kenora,CA,49.8167,-94.4337,39.78,59,92,2.19,overcast clouds
370,Alyangula,AU,-13.8483,136.4192,80.26,81,10,6.8,clear sky
371,Tungor,RU,53.3808,142.9564,34.52,93,100,6.38,light rain
372,Kita,ML,13.0349,-9.4895,75.7,87,100,3.27,light rain
373,Clyde River,CA,70.4692,-68.5914,22.91,79,94,17.16,overcast clouds
374,Masuguru,TZ,-11.3667,38.4167,82.83,48,59,10.36,broken clouds
375,Tsogni,GA,-2.7942,10.0988,75.49,89,99,5.19,overcast clouds
376,Vilhena,BR,-12.7406,-60.1458,85.69,51,100,4.09,overcast clouds
377,Tamandare,BR,-8.7597,-35.1047,82.27,69,61,10.25,broken clouds
378,Ancud,CL,-41.8697,-73.8203,59.43,59,2,11.21,clear sky
379,Tolaga Bay,NZ,-38.3667,178.3,53.74,77,100,9.69,overcast clouds
380,Priekule,LV,56.4468,21.5897,42.19,76,100,12.66,overcast clouds
381,Maarianhamina,AX,60.0973,19.9348,33.66,86,40,3.44,scattered clouds
382,Porto Novo,BJ,6.4965,2.6036,75.58,91,100,6.78,light rain
383,Talnakh,RU,69.4865,88.3972,22.93,96,100,6.98,light snow
384,Maningrida,AU,-12.0667,134.2667,82.06,73,61,7.34,broken clouds
385,Vao,NC,-22.6667,167.4833,71.73,80,32,15.55,scattered clouds
386,Merano,IT,46.6682,11.1595,50.67,66,0,3.78,clear sky
387,Byron Bay,AU,-28.65,153.6167,73.06,95,55,9.31,broken clouds
388,Catamarca,AR,-28.4696,-65.7852,85.05,37,0,11.01,clear sky
389,Madang,PG,-5.2246,145.7966,74.93,91,97,1.32,light rain
390,Kathmandu,NP,27.7167,85.3167,64.62,94,75,3.44,mist
391,Baruun-Urt,MN,46.6806,113.2792,34.63,43,87,7.78,overcast clouds
392,Pevek,RU,69.7008,170.3133,10.94,95,100,5.61,light snow
393,Poronaysk,RU,49.2167,143.1167,33.6,79,0,2.46,clear sky
394,Mukhen,RU,48.1,136.1,35.83,81,1,8.77,clear sky
395,Poum,NC,-20.2333,164.0167,73.44,80,8,13.18,clear sky
396,Doha,QA,25.2867,51.5333,82.38,54,0,9.22,clear sky
397,Karasburg,NA,-28.0167,18.75,55.04,48,0,6.08,clear sky
398,Mpika,ZM,-11.8343,31.4529,73.76,35,58,4.09,broken clouds
399,Pilar,BR,-9.5972,-35.9567,85.93,63,81,12.28,broken clouds
400,Iztapa,GT,13.9333,-90.7075,87.85,74,90,6.91,overcast clouds
401,Znamenskoye,RU,57.1281,73.8282,48.52,78,77,14.47,broken clouds
402,Port Macquarie,AU,-31.4333,152.9167,62.89,93,16,8.63,few clouds
403,Sioni,GE,41.9895,45.0239,46.76,60,0,2.08,clear sky
404,Teguldet,RU,57.3064,88.1667,38.17,96,100,14.97,light rain
405,Aklavik,CA,68.2191,-135.0107,24.64,92,42,7.52,scattered clouds
406,Rawson,AR,-43.3002,-65.1023,59.77,26,36,5.93,scattered clouds
407,Champerico,GT,14.3,-91.9167,91.94,75,73,6.24,broken clouds
408,Anchorage,US,61.2181,-149.9003,43.63,86,100,3.0,overcast clouds
409,Iraquara,BR,-12.2486,-41.6194,77.97,71,100,7.18,overcast clouds
410,Ughelli,NG,5.4899,6.0074,73.63,96,99,2.44,overcast clouds
411,Santiago De Chuco,PE,-8.15,-78.1833,62.53,58,67,3.71,light rain
412,Nago,JP,26.5881,127.9761,73.47,68,75,5.53,broken clouds
413,Marawi,PH,7.9986,124.2928,66.65,91,93,4.0,overcast clouds
414,Blythe,US,33.6103,-114.5964,83.03,25,99,14.41,overcast clouds
415,Talcahuano,CL,-36.7167,-73.1167,54.9,70,0,17.18,clear sky
416,Barabai,ID,-2.5833,115.3833,74.35,95,100,1.81,overcast clouds
417,Mao,ES,39.8885,4.2658,64.96,82,40,11.5,scattered clouds
418,Lillooet,CA,50.6856,-121.942,54.03,57,100,4.41,overcast clouds
419,Hervey Bay,AU,-25.2986,152.8535,74.03,89,16,15.26,few clouds
420,Hirson,FR,49.9226,4.0826,50.02,78,0,4.72,clear sky
421,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,74,75,7.0,broken clouds
422,Daru,PG,-9.0763,143.2092,79.7,82,88,13.6,overcast clouds
423,Broken Hill,AU,-31.95,141.4333,49.57,67,0,15.21,clear sky
424,Uryupinsk,RU,50.8047,42.0138,49.78,57,76,8.16,broken clouds
425,Gitega,BI,-3.5,29.95,65.62,75,20,2.04,few clouds
426,Trairi,BR,-3.2778,-39.2689,84.51,64,24,12.19,few clouds
427,Weligama,LK,5.9667,80.4167,78.84,81,24,8.34,few clouds
428,Morant Bay,JM,17.8815,-76.4093,88.63,74,43,10.29,scattered clouds
429,Tigil,RU,57.8,158.6667,26.53,93,100,6.38,overcast clouds
430,Araguacu,BR,-12.9306,-49.8264,89.29,46,100,5.14,light rain
431,Skara,SE,58.3866,13.4384,37.74,86,74,1.99,broken clouds
432,Qasigiannguit,GL,68.8193,-51.1922,19.65,95,100,6.44,light snow
433,Kovur,IN,14.4833,79.9833,79.83,81,91,3.65,overcast clouds
434,Cap Malheureux,MU,-19.9842,57.6142,74.46,76,99,5.99,overcast clouds
435,Skeldon,GY,5.8833,-57.1333,80.44,87,100,6.13,overcast clouds
436,Bow Island,CA,49.8668,-111.3684,50.99,64,100,16.46,overcast clouds
437,Coquimbo,CL,-29.9533,-71.3436,61.27,67,0,12.15,clear sky
438,Ussuriysk,RU,43.7986,131.9508,26.42,57,0,1.68,clear sky
439,Tessalit,ML,20.1986,1.0114,91.15,14,43,6.69,scattered clouds
440,Taiyuan,CN,37.8694,112.5603,44.46,76,57,2.24,broken clouds
441,Greymouth,NZ,-42.4667,171.2,53.8,74,100,4.52,overcast clouds
442,Marau,BR,-28.4492,-52.2,60.06,97,100,11.03,heavy intensity rain
443,Asau,RO,46.4333,26.4,49.39,66,100,2.59,light rain
444,Muisne,EC,0.6,-80.0333,78.44,78,75,10.74,broken clouds
445,San Cristobal,VE,7.7669,-72.225,83.93,51,84,5.21,broken clouds
446,San Andres,CO,12.5847,-81.7006,82.99,78,71,12.33,broken clouds
447,Korla,CN,41.7597,86.1469,53.58,35,100,4.47,light rain
448,San Felipe,VE,10.3399,-68.7425,79.97,87,91,5.19,overcast clouds
449,Lavrentiya,RU,65.5833,-171.0,23.58,85,100,9.66,overcast clouds
450,Traiguen,CL,-38.25,-72.6833,57.85,57,89,5.55,overcast clouds
451,Sarai Naurang,PK,32.8259,70.7814,71.74,53,0,7.05,clear sky
452,Plettenberg Bay,ZA,-34.0527,23.3716,56.91,78,70,11.25,light rain
453,Funtua,NG,11.5233,7.3081,73.71,71,67,5.77,broken clouds
454,Birao,CF,10.2849,22.7882,76.71,74,99,4.23,overcast clouds
455,Nelson Bay,AU,-32.7167,152.15,65.68,98,25,1.99,scattered clouds
456,Bilma,NE,18.6853,12.9164,85.77,13,6,8.41,clear sky
457,Kurilsk,RU,45.2333,147.8833,45.32,64,80,15.46,broken clouds
458,Padang,ID,-0.9492,100.3543,77.07,89,94,3.36,overcast clouds
459,Bingol,TR,38.8847,40.4939,53.28,25,0,4.12,clear sky
460,Sao Desiderio,BR,-12.3633,-44.9733,89.08,41,100,1.25,overcast clouds
461,Belaya Gora,RU,68.5333,146.4167,-7.83,92,98,4.16,overcast clouds
462,Itarema,BR,-2.9248,-39.9167,84.67,66,60,16.28,broken clouds
463,Yaan,NG,7.3833,8.5667,72.93,90,96,3.71,overcast clouds
464,Oranjemund,NA,-28.55,16.4333,58.26,79,0,14.76,clear sky
465,Camacha,PT,33.0833,-16.3333,67.42,64,40,11.5,scattered clouds
466,Chimoio,MZ,-19.1164,33.4833,75.6,58,0,3.85,clear sky
467,Tautira,PF,-17.7333,-149.15,78.82,88,100,16.53,light rain
468,Esso,RU,55.9333,158.7,25.5,97,100,4.92,overcast clouds
469,Kaitangata,NZ,-46.2817,169.8464,49.96,90,100,2.91,overcast clouds
470,Pringsewu,ID,-5.3582,104.9744,73.33,95,71,0.94,broken clouds
471,Barcelos,PT,41.5388,-8.6151,63.84,75,91,2.86,overcast clouds
472,Sangar,RU,63.9242,127.4739,16.81,95,100,9.42,snow
473,Dong Hoi,VN,17.4833,106.6,68.97,90,100,11.48,overcast clouds
